PING 10.2.0.11 (10.2.0.11) 56(84) bytes of data.
64 bytes from 10.2.0.11: icmp_seq=152 ttl=64 time=0.545 ms
64 bytes from 10.2.0.11: icmp_seq=153 ttl=64 time=0.491 ms
64 bytes from 10.2.0.11: icmp_seq=154 ttl=64 time=0.572 ms
64 bytes from 10.2.0.11: icmp_seq=155 ttl=64 time=0.564 ms
64 bytes from 10.2.0.11: icmp_seq=156 ttl=64 time=0.556 ms
64 bytes from 10.2.0.11: icmp_seq=157 ttl=64 time=0.528 ms
64 bytes from 10.2.0.11: icmp_seq=158 ttl=64 time=0.484 ms
64 bytes from 10.2.0.11: icmp_seq=159 ttl=64 time=0.529 ms
64 bytes from 10.2.0.11: icmp_seq=160 ttl=64 time=0.566 ms
64 bytes from 10.2.0.11: icmp_seq=161 ttl=64 time=0.725 ms
64 bytes from 10.2.0.11: icmp_seq=162 ttl=64 time=0.582 ms
64 bytes from 10.2.0.11: icmp_seq=163 ttl=64 time=0.487 ms
64 bytes from 10.2.0.11: icmp_seq=164 ttl=64 time=0.565 ms
64 bytes from 10.2.0.11: icmp_seq=165 ttl=64 time=0.549 ms
64 bytes from 10.2.0.11: icmp_seq=166 ttl=64 time=0.551 ms
64 bytes from 10.2.0.11: icmp_seq=167 ttl=64 time=0.657 ms
64 bytes from 10.2.0.11: icmp_seq=168 ttl=64 time=0.569 ms
64 bytes from 10.2.0.11: icmp_seq=169 ttl=64 time=0.554 ms
64 bytes from 10.2.0.11: icmp_seq=170 ttl=64 time=0.695 ms
64 bytes from 10.2.0.11: icmp_seq=171 ttl=64 time=0.582 ms
64 bytes from 10.2.0.11: icmp_seq=172 ttl=64 time=0.664 ms
64 bytes from 10.2.0.11: icmp_seq=173 ttl=64 time=0.560 ms
64 bytes from 10.2.0.11: icmp_seq=174 ttl=64 time=0.528 ms
64 bytes from 10.2.0.11: icmp_seq=175 ttl=64 time=0.497 ms
64 bytes from 10.2.0.11: icmp_seq=176 ttl=64 time=0.512 ms
64 bytes from 10.2.0.11: icmp_seq=177 ttl=64 time=0.506 ms
64 bytes from 10.2.0.11: icmp_seq=178 ttl=64 time=0.490 ms
64 bytes from 10.2.0.11: icmp_seq=179 ttl=64 time=0.477 ms
64 bytes from 10.2.0.11: icmp_seq=180 ttl=64 time=0.515 ms
