PING 10.2.0.13 (10.2.0.13) 56(84) bytes of data.
64 bytes from 10.2.0.13: icmp_seq=194 ttl=64 time=0.859 ms
64 bytes from 10.2.0.13: icmp_seq=195 ttl=64 time=0.852 ms
64 bytes from 10.2.0.13: icmp_seq=196 ttl=64 time=0.810 ms
64 bytes from 10.2.0.13: icmp_seq=197 ttl=64 time=0.900 ms
64 bytes from 10.2.0.13: icmp_seq=198 ttl=64 time=0.847 ms
64 bytes from 10.2.0.13: icmp_seq=199 ttl=64 time=0.850 ms
64 bytes from 10.2.0.13: icmp_seq=200 ttl=64 time=0.820 ms
64 bytes from 10.2.0.13: icmp_seq=201 ttl=64 time=0.737 ms
64 bytes from 10.2.0.13: icmp_seq=202 ttl=64 time=0.727 ms
64 bytes from 10.2.0.13: icmp_seq=203 ttl=64 time=0.872 ms
64 bytes from 10.2.0.13: icmp_seq=204 ttl=64 time=0.810 ms
64 bytes from 10.2.0.13: icmp_seq=205 ttl=64 time=0.701 ms
64 bytes from 10.2.0.13: icmp_seq=206 ttl=64 time=0.699 ms
64 bytes from 10.2.0.13: icmp_seq=207 ttl=64 time=3.52 ms
64 bytes from 10.2.0.13: icmp_seq=208 ttl=64 time=1.27 ms
64 bytes from 10.2.0.13: icmp_seq=209 ttl=64 time=0.838 ms
64 bytes from 10.2.0.13: icmp_seq=210 ttl=64 time=0.844 ms
64 bytes from 10.2.0.13: icmp_seq=211 ttl=64 time=0.835 ms
64 bytes from 10.2.0.13: icmp_seq=212 ttl=64 time=0.916 ms
64 bytes from 10.2.0.13: icmp_seq=213 ttl=64 time=0.756 ms
64 bytes from 10.2.0.13: icmp_seq=214 ttl=64 time=0.773 ms
64 bytes from 10.2.0.13: icmp_seq=215 ttl=64 time=0.737 ms
64 bytes from 10.2.0.13: icmp_seq=216 ttl=64 time=0.693 ms
64 bytes from 10.2.0.13: icmp_seq=217 ttl=64 time=0.908 ms
64 bytes from 10.2.0.13: icmp_seq=218 ttl=64 time=0.730 ms
64 bytes from 10.2.0.13: icmp_seq=219 ttl=64 time=0.741 ms
64 bytes from 10.2.0.13: icmp_seq=220 ttl=64 time=0.824 ms
64 bytes from 10.2.0.13: icmp_seq=221 ttl=64 time=0.951 ms
64 bytes from 10.2.0.13: icmp_seq=222 ttl=64 time=0.731 ms
64 bytes from 10.2.0.13: icmp_seq=223 ttl=64 time=0.733 ms
64 bytes from 10.2.0.13: icmp_seq=224 ttl=64 time=0.842 ms
64 bytes from 10.2.0.13: icmp_seq=225 ttl=64 time=0.918 ms
64 bytes from 10.2.0.13: icmp_seq=226 ttl=64 time=0.734 ms
64 bytes from 10.2.0.13: icmp_seq=227 ttl=64 time=0.920 ms
64 bytes from 10.2.0.13: icmp_seq=228 ttl=64 time=0.737 ms
64 bytes from 10.2.0.13: icmp_seq=229 ttl=64 time=0.893 ms
64 bytes from 10.2.0.13: icmp_seq=230 ttl=64 time=0.738 ms
64 bytes from 10.2.0.13: icmp_seq=231 ttl=64 time=0.785 ms
64 bytes from 10.2.0.13: icmp_seq=232 ttl=64 time=0.766 ms
64 bytes from 10.2.0.13: icmp_seq=233 ttl=64 time=0.727 ms
