PING 192.168.1.13 (192.168.1.13) 56(84) bytes of data.
64 bytes from 192.168.1.13: icmp_seq=223 ttl=64 time=0.975 ms
64 bytes from 192.168.1.13: icmp_seq=224 ttl=64 time=0.944 ms
64 bytes from 192.168.1.13: icmp_seq=225 ttl=64 time=0.718 ms
64 bytes from 192.168.1.13: icmp_seq=226 ttl=64 time=1.12 ms
64 bytes from 192.168.1.13: icmp_seq=227 ttl=64 time=1.53 ms
64 bytes from 192.168.1.13: icmp_seq=228 ttl=64 time=0.895 ms
64 bytes from 192.168.1.13: icmp_seq=229 ttl=64 time=0.971 ms
64 bytes from 192.168.1.13: icmp_seq=230 ttl=64 time=0.875 ms
64 bytes from 192.168.1.13: icmp_seq=231 ttl=64 time=1.03 ms
64 bytes from 192.168.1.13: icmp_seq=232 ttl=64 time=0.838 ms
64 bytes from 192.168.1.13: icmp_seq=233 ttl=64 time=0.881 ms
64 bytes from 192.168.1.13: icmp_seq=234 ttl=64 time=1.05 ms
64 bytes from 192.168.1.13: icmp_seq=235 ttl=64 time=0.861 ms
64 bytes from 192.168.1.13: icmp_seq=236 ttl=64 time=1.10 ms
64 bytes from 192.168.1.13: icmp_seq=237 ttl=64 time=0.882 ms
64 bytes from 192.168.1.13: icmp_seq=238 ttl=64 time=0.848 ms
64 bytes from 192.168.1.13: icmp_seq=239 ttl=64 time=0.959 ms
64 bytes from 192.168.1.13: icmp_seq=240 ttl=64 time=0.793 ms
64 bytes from 192.168.1.13: icmp_seq=241 ttl=64 time=0.962 ms
64 bytes from 192.168.1.13: icmp_seq=242 ttl=64 time=0.925 ms
64 bytes from 192.168.1.13: icmp_seq=243 ttl=64 time=1.10 ms
64 bytes from 192.168.1.13: icmp_seq=244 ttl=64 time=1.16 ms
64 bytes from 192.168.1.13: icmp_seq=245 ttl=64 time=0.953 ms
64 bytes from 192.168.1.13: icmp_seq=246 ttl=64 time=0.890 ms
64 bytes from 192.168.1.13: icmp_seq=247 ttl=64 time=0.872 ms
64 bytes from 192.168.1.13: icmp_seq=248 ttl=64 time=1.10 ms
64 bytes from 192.168.1.13: icmp_seq=249 ttl=64 time=0.755 ms
64 bytes from 192.168.1.13: icmp_seq=250 ttl=64 time=1.50 ms
64 bytes from 192.168.1.13: icmp_seq=251 ttl=64 time=0.880 ms
64 bytes from 192.168.1.13: icmp_seq=252 ttl=64 time=1.65 ms
64 bytes from 192.168.1.13: icmp_seq=253 ttl=64 time=1.16 ms
64 bytes from 192.168.1.13: icmp_seq=254 ttl=64 time=0.867 ms
64 bytes from 192.168.1.13: icmp_seq=255 ttl=64 time=0.873 ms
64 bytes from 192.168.1.13: icmp_seq=256 ttl=64 time=0.914 ms
64 bytes from 192.168.1.13: icmp_seq=257 ttl=64 time=1.04 ms
64 bytes from 192.168.1.13: icmp_seq=258 ttl=64 time=0.935 ms
64 bytes from 192.168.1.13: icmp_seq=259 ttl=64 time=1.05 ms
64 bytes from 192.168.1.13: icmp_seq=260 ttl=64 time=0.812 ms
64 bytes from 192.168.1.13: icmp_seq=261 ttl=64 time=0.893 ms
64 bytes from 192.168.1.13: icmp_seq=262 ttl=64 time=0.929 ms
64 bytes from 192.168.1.13: icmp_seq=263 ttl=64 time=0.923 ms
64 bytes from 192.168.1.13: icmp_seq=264 ttl=64 time=0.954 ms
64 bytes from 192.168.1.13: icmp_seq=265 ttl=64 time=1.07 ms
64 bytes from 192.168.1.13: icmp_seq=266 ttl=64 time=0.912 ms
64 bytes from 192.168.1.13: icmp_seq=267 ttl=64 time=1.05 ms
64 bytes from 192.168.1.13: icmp_seq=268 ttl=64 time=0.958 ms
64 bytes from 192.168.1.13: icmp_seq=269 ttl=64 time=0.793 ms
64 bytes from 192.168.1.13: icmp_seq=270 ttl=64 time=1.08 ms
64 bytes from 192.168.1.13: icmp_seq=271 ttl=64 time=0.906 ms
64 bytes from 192.168.1.13: icmp_seq=272 ttl=64 time=0.956 ms
64 bytes from 192.168.1.13: icmp_seq=273 ttl=64 time=1.06 ms
64 bytes from 192.168.1.13: icmp_seq=274 ttl=64 time=0.911 ms
64 bytes from 192.168.1.13: icmp_seq=275 ttl=64 time=0.920 ms
64 bytes from 192.168.1.13: icmp_seq=276 ttl=64 time=0.930 ms
